                  epoch,             train/loss,             valid/loss,              test/loss,              train/acc,              valid/acc,  metrics/accuracy_top5,            f{test}/acc,                   lr/0
                      0,                 5.2499,                 5.2691,                 5.2857,                0.12702,                0.12262,               0.016113,                0.11572,               0.000967
                      1,                 4.5058,                 4.6538,                 4.5492,                0.30557,                0.28823,                0.09375,                0.29834,               0.000934
                      2,                 4.9836,                 5.0873,                 5.0962,                0.26063,                0.24719,               0.080566,                 0.2583,               0.000901
                      3,                 4.1735,                 4.3334,                 4.2619,                0.40327,                0.37567,                0.12451,                0.38721,               0.000868
                      4,                 3.2027,                 3.4115,                 3.3709,                0.59306,                0.52272,                0.21191,                0.53467,               0.000835
                      5,                 2.9907,                 3.2704,                 3.2045,                0.65901,                0.58574,                  0.271,                0.58545,               0.000802
                      6,                  3.073,                 3.3326,                 3.3088,                0.63972,                0.57938,                0.24072,                0.58105,               0.000769
                      7,                 2.7244,                 3.0653,                 3.0143,                0.73425,                 0.6424,                 0.3252,                0.65088,               0.000736
                      8,                 2.7323,                 3.1623,                 3.1404,                0.75745,                0.65169,                 0.3252,                 0.6543,               0.000703
                      9,                 2.4731,                 2.9358,                 2.9099,                0.79751,                0.67611,                0.35352,                 0.6875,                0.00067
                     10,                 2.3401,                 2.9165,                 2.8552,                0.83732,                 0.6766,                0.37549,                0.70312,               0.000637
                     11,                 2.1368,                 2.7811,                 2.7938,                0.87421,                 0.7235,                0.41699,                0.71484,               0.000604
                     12,                 1.9774,                 2.8133,                 2.7839,                0.90352,                 0.7235,                0.42969,                0.73535,               0.000571
                     13,                 1.8582,                 2.9143,                 2.8445,                0.93185,                0.71373,                 0.4292,                0.73828,               0.000538
                     14,                 1.6122,                 2.6813,                 2.6806,                0.97069,                0.74939,                0.43701,                0.75391,               0.000505
                     15,                 1.6486,                  2.888,                 2.9056,                0.97582,                0.70396,                0.37402,                0.70557,               0.000472
                     16,                 1.3577,                 2.8288,                  2.762,                 0.9917,                0.72887,                0.44434,                0.74023,               0.000439
                     17,                 1.2049,                 2.6476,                 2.6212,                0.99756,                0.77088,                0.49414,                0.76855,               0.000406
                     18,                 1.1654,                 2.7928,                  2.725,                0.99805,                0.73083,                0.45654,                0.74219,               0.000373
                     19,                  1.042,                 2.6763,                 2.6266,                0.99976,                0.74988,                0.48535,                0.76074,                0.00034
                     20,                0.99664,                   2.67,                 2.6331,                      1,                0.74353,                0.48682,                0.75537,               0.000307
                     21,                0.95194,                 2.6086,                 2.5584,                      1,                0.76404,                0.49854,                0.76562,               0.000274
                     22,                0.93276,                  2.582,                 2.5263,                      1,                  0.766,                0.50879,                0.77197,               0.000241
                     23,                0.91646,                 2.6053,                  2.538,                      1,                0.76063,                0.50391,                0.76953,               0.000208
                     24,                0.90298,                  2.601,                 2.5374,                      1,                0.77088,                0.51172,                0.77051,               0.000175
                     25,                 0.8964,                  2.589,                 2.5317,                      1,                0.76404,                0.50586,                0.76758,               0.000142
                     26,                0.89129,                 2.5972,                 2.5515,                      1,                0.76014,                0.51074,                0.76025,               0.000109
                     27,                0.88608,                 2.6052,                 2.5441,                      1,                0.75769,                0.50879,                0.76318,                7.6e-05
                     28,                0.88045,                 2.5997,                 2.5401,                      1,                0.75965,                0.50879,                0.76709,                4.3e-05
                     29,                 0.8784,                 2.6009,                  2.539,                      1,                0.75916,                0.51025,                0.76855,                  1e-05
